p,propLabel,eff
http://www.wikidata.org/prop/direct/P2397,YouTube channel ID,2
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,2
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,2
http://www.wikidata.org/prop/direct/P3171,Olympic.org athlete ID (archived),2
http://www.wikidata.org/prop/direct/P3222,NE.se ID,2
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,2
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,2
http://www.wikidata.org/prop/direct/P4033,Mastodon address,2
http://www.wikidata.org/prop/direct/P4114,ADK member ID,2
http://www.wikidata.org/prop/direct/P4223,Treccani's Enciclopedia Italiana ID,2
http://www.wikidata.org/prop/direct/P4862,Amazon author ID,2
http://www.wikidata.org/prop/direct/P4927,Invaluable.com person ID,2
http://www.wikidata.org/prop/direct/P4955,MR Author ID,2
http://www.wikidata.org/prop/direct/P5375,BIU Santé person ID,2
http://www.wikidata.org/prop/direct/P5370,Entomologists of the World ID,2
http://www.wikidata.org/prop/direct/P5815,Olympics.com athlete ID,2
http://www.wikidata.org/prop/direct/P6404,Treccani's Dizionario di Storia ID,2
http://www.wikidata.org/prop/direct/P6872,has written for,2
http://www.wikidata.org/prop/direct/P6677,OpenEdition Books author ID,2
http://www.wikidata.org/prop/direct/P6722,FemBio ID,2
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,2
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,2
http://www.wikidata.org/prop/direct/P7208,Liber Liber author ID,2
http://www.wikidata.org/prop/direct/P7545,askArt person ID,2
http://www.wikidata.org/prop/direct/P7578,DUC ID,2
http://www.wikidata.org/prop/direct/P7704,Europeana entity,2
http://www.wikidata.org/prop/direct/P7848,Frick Art Reference Library Artist File ID,2
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,2
http://www.wikidata.org/prop/direct/P8094,GeneaStar person ID,2
http://www.wikidata.org/prop/direct/P8406,Grove Art Online ID,2
http://www.wikidata.org/prop/direct/P8852,facial hair,2
http://www.wikidata.org/prop/direct/P8902,Archives at Yale agent ID,2
http://www.wikidata.org/prop/direct/P9164,Svenska Institutet i Rom ID,2
http://www.wikidata.org/prop/direct/P9178,Biblioteca Franco Serantini ID,2
http://www.wikidata.org/prop/direct/P9179,Biblioteca Iglesia Nacional Española en Roma ID,2
http://www.wikidata.org/prop/direct/P9247,Pontifical University of Salamanca ID,2
http://www.wikidata.org/prop/direct/P9251,Cyprus University of Technology ID,2
http://www.wikidata.org/prop/direct/P10141,Academy of Athens authority ID,2
http://www.wikidata.org/prop/direct/P10299,Leopoldina member ID (new),2
http://www.wikidata.org/prop/direct/P11239,DFK Paris person ID,2
http://www.wikidata.org/prop/direct/P11710,LIBRA Unine ID,2
http://www.wikidata.org/prop/direct/P12086,WikiKids ID,2
